,job,company,location,salary,description
906.0,Senior Data Scientist - Data Fusion,    smartdrive,"San Diego, CA",,"Senior Data Scientist - Data Fusion. As a Data Scientist, you will work within SmartDrive’s dynamic and fast-moving Analytics team to enhance and enrich our..."
907.0,Sr. Statistical Programmer/Analyst (Remote),    The Veritas Healthcare Solutions LLC.,Remote,"$105,000 a year",Hands-on skills in legacy data conversions to CDISC SDTM data setsi. Develop and QC SDTM data sets with double programmingb....
909.0,"Instructor, Sr. Data Scientist",        Galvanize,"Phoenix, AZ 85003 (Central City area)",,Join us in building the world's hub for education in data science and data engineering. We are growing our data science instructional team at Galvanize....
910.0,Sr Data Scientist,        MetLife,"Cary, NC",,Mentors more junior Data Scientists. Data Scientists combine strong technical knowledge with keen business acumen to create analytics solutions with business...
911.0,Data Science Manager,    Empulse,"Eden Prairie, MN",,"This is a dual role, managing a blend of data scientists and big data engineers; Big data, machine learning, predictive analytics and cognitive computing are..."
919.0,Statistical Analyst,    MbSolutions Inc,"Arlington, VA","$80,000 a year",The Contractor shall develop data collection processes/procedures and formats for information for utilization by the Government....
920.0,STD Statistical Analysis Fellowship -- CDC,        Oak Ridge Associated Universities,"Atlanta, GA",,Experience analyzing national survey data sets is desired. Experience analyzing data using R and SAS is required....
923.0,Director Data Science,    AdTheorent,"New York, NY",,"Recruit, motivate, and develop the best data scientist talent. 5+ years of experience managing a team of data scientists...."
925.0,Accenture Analytics - Data Science Manager,        Accenture,"New York, NY 10011 (Chelsea area)",,"Accenture Analytics – Global Management – Data Scientist. Manage, architect and analyze big data in order to build data driven business insights and high impact..."
932.0,Start Up Hiring Quant Data Scientist,    Eka Finance,"New York, NY",,Exciting start up hiring a quant data scientist with extensive experience applying a range of machine learning models to a diverse set of data ....
934.0,MEMS Data Scientist,        InvenSense,"San Jose, CA 95110 (Downtown area)",,"Fluency in Python and/or C# with a solid understanding of statistical data analysis, machine learning techniques, and data visualization...."
935.0,Data Scientist,    Enterprise Select,"New York, NY 10038 (Financial District area)","$130,000 a year","2+ years practical experience as a data scientist or similar quantitative role. We are specifically looking for an experienced Data Scientist who is proactive,..."
936.0,Research Development Engineer/Scientist,    TULK llc,"Alexandria, VA","$160,000 a year",We are seeking a research scientist that applies theory to observables or proxy data to address intelligence issues in the geospatial domain....
937.0,Machine Learning Research Scientist,        Datalogic,"Pasadena, CA",,Work with other members of the Machine Vision Applications DL LABS team to develop novel machine learning - based methods for industrial inspection
938.0,Data Scientist / R Programer,"    Envision, LLC","St. Louis, MO",,"R Programmer (Data Scientist)*. The R programmer will be responsible for translating business questions into data requirements, metrics, and insights to manage..."
940.0,Research Analyst (Entry-Level),        Sovos Compliance,"Wilmington, MA",,Are you a research-driven person who is excited by the thought of being at the forefront of finding new information? Do you love the details of a project and
941.0,"Course Developer, Data Analyst","    Udacity, Inc.","San Francisco, CA",,Experience as a data analyst or data scientist. You’ll be working directly with our partners (like Facebook and Tableau) to build projects that will be used to...
947.0,Data Science Summer Intern,    Lazard Ltd.,"New York, NY",,Job Description The Summer Data Science Intern at Lazard will work within the Corporate Strategy team. The primary responsibility is to
949.0,"Senior Scientist, Machine Learning and Virtual Screening",    Schrodinger,"New York, NY",,"Senior Scientist, Machine Learning and Virtual Screening. The ideal candidate is a scientist experienced in the application, development, and refinement of..."
950.0,"Manager, Decision Science",        Facebook,"Menlo Park, CA",,"The ideal candidate will also have a strong management and leadership track record, proven hands-on experience in data manipulation, a passion for data, media..."
951.0,Data Engineer,        CrowdStar,"Burlingame, CA 94010",,Maintain and enhance Tableau and custom data visualization tools.Work with data scientists to develop a scalable data visualization platform....
952.0,Strategic Drug Development Data Scientist,    QuintilesIMS,United States,,"Proven experience of managing raw data, through to aggregated information, to drive. Information Technology (IT) Development team as they build technical and..."
954.0,Research Data Associate,        NYU School of Medicine,"New York, NY",,RAs will assist with data cleaning and data management. Data duties RAs will enter all assessment data into Qualtrics and RedCap....
955.0,Analytical Development Scientist,"    Medical Science & Computing, Inc.","Gaithersburg, MD",,"Proven data presentation, troubleshooting and problem solving skills. We are currently searching for the Analytical Development Scientist to support the..."
962.0,Predictive Modeler,    ITR (Information Technology Resources),"Knoxville, TN",,"Business Intelligence Data Scientist. Advanced experience with data mining techniques, statistical data model development and self-learning models...."
963.0,Data Scientist,    ITStaff Technical Resources,"Santa Clara, CA","$85,000 - $120,000 a year",They’re looking for a data scientist who's passionate about performing analysis and driving development utilizing DNA sequencing technology....
964.0,Associate Data Scientist,        Walmart,"Bentonville, AR 72712",,1 year experience with big data analytics. Presents data insights and recommendations to key stakeholders. Manages the continuous improvement of data science...
965.0,Data Scientist / R Modeller,    Brillio Inc,"Irving, TX",,Job Description Description: Troubleshoot problems encountered by customers Develop customer-facing documentation for our website and other venues File bug
966.0,Data Scientist - Machine Learning Emphasis,"    The Artisan Group, Inc.","Washington, DC",,"Because of new project initiatives, The Artisan Group has been tasked to identify a talented individual for the role of Data Scientist...."
967.0,Lead Data Scientist - Healthcare,        Aetna,"Wellesley, MA",,Strong knowledge of advanced analytics tools and languages to analyze large data sets from multiple data sources....
970.0,Data Science Consultant,        Business Control Systems,"Charlotte, NC 28202 (Downtown Charlotte area)",,"Previous experience working in data mining. Business Control Systems is seeking a Data Scientist in Charlotte, NC, to model complex problems, discover Institute..."
978.0,Data Scientist / Business Intelligence Analyst,    Stansberry Research,"Baltimore, MD",,Identify and understand source data systems and become an expert of data sources and flows. Stansberry Holdings is looking for a Data Scientist/Business...
979.0,Junior Research Scientist (Rolling Admission),    Institute for the Study of Decision Making,"New York, NY",,Collect and analyze data. Provide ready access to all experimental data for the researcher and/or supervisor. Organizing and maintaining centralized laboratory...
980.0,"Senior Associate, Data Science",        Capital One,"McLean, VA",,"Writing software to clean and investigate large, messy data sets of numerical and textual data -Integrating with external data sources and APIs to discover..."
981.0,Research Scientist- Research Technologies- LCMS Bioanalysis Job,        Novo Nordisk,"Seattle, WA 98109 (Westlake area)",,Interpret and properly document experimental data. Requisition ID 46122BR....
982.0,Scientist / Engineer,        ECS Federal LLC,"Arlington, VA",,"Physics-based signal processing, and the analysis of real data. ECS Federal, LLC (ECS) is seeking a Scientist / Engineer to work in our Arlington, VA office...."
983.0,Data Scientist Internship,"    Faraday Future, Inc.","San Jose, CA",,"Experience with Spark, Hadoop & Other big data tools. Use Stats, Machine Learning, Math and CS to help design the car and its sensors, gain insight into..."
985.0,Data Analysis Intern,        Zebra Technologies,"Lincolnshire, IL 60069",,"Advanced Data Analysis. Experience wtih various data management applications is a plus. We are looking for a hard-working intern, willing to learn, and..."
986.0,Machine Learning Research Scientist - 2004504,    Software Engineering Institute,"Pittsburgh, PA 15213 (North Oakland area)",,"Engineering efficient data intake, processing, and reporting streams for a variety of intelligence-related data...."
992.0,Modeling and Simulation Analyst (EO/IR),        Parsons Corporation,"Suitland, MD",,Parsons is supporting the Office of Naval Intelligence / Intelligence Analysis and Data Support (ONI IADS) Program Office ....
993.0,Data Analytics Instructor,    Level Education from Northeastern University,"Seattle, WA",,"Data analyst, data scientist, management consultant, financial analyst) and some instruction experience; Data pre-processing and cleaning, exploratory data..."
994.0,Data Engineer,        Acquia,"Boston, MA",,Work with data scientists to architect and build systems that use Machine Learning techniques to provide services via Rest APIs....
995.0,Data Scientist/R Programmer,"        Levi, Ray & Shoup, Inc.","Woods Hole, MA",,The Data Scientist/R Programmer will:. LRS Consulting Services is seeking a Data Scientist/R Programmer for a 3-month contract opportunity with our client in...
996.0,Research Scientist,        Areté Associates,"Chantilly, VA",,"Assess algorithm performance on real-world data. Sensor applications including EO/IR and radar, data analysis, signal processing, machine learning, algorithm..."
997.0,Statistical & Research Analyst III,        State of South Carolina,"Chesterfield County, SC","$32,838 - $60,760 a year","Knowledge of methods of research design, data collection, data manipulation, data analysis and presentation of information...."
998.0,Senior Data Scientist,        OpenTable,"San Francisco, CA 94103 (South Of Market area)",,"Senior Data Scientist. OpenTable is looking for an experienced, impact-driven Senior Data Scientist to join our team...."
999.0,Machine Learning Scientist,    Tinder,"West Hollywood, CA",,We are looking for a Machine Learning Scientist to help us explore a vast amount of data and derive knowledge from that data that can be used to improve our...
1000.0,Data Scientist Principal Job,        SAIC,"Reston, VA",,"Data Scientist Principal (Job Number:. SAIC currently has an opening for a Data Scientist Principal based in Reston, VA...."
1001.0,Computer Science - Data Structures & Algorithm Analysis,        Concordia University Texas,"Austin, TX",,The Department of Computer Science at Concordia University Texas main campus is looking for a Computer Science Adjunct Instructor to instruct a course on Data...
1007.0,Market Research Analyst,        American Heart Association,"Robbinsville, NJ 08691",$15 an hour,+ Compile the data. + Data gathering may include outreach within the community. + Gather data from a variety of sources such as internet;...
1008.0,Research Analyst,    American Society for Engineering Education (ASEE),"Washington, DC 20036 (Downtown area)","$50,000 a year","Collects and analyzes survey data; Experience with/ interest in data visualization (Tableau and Qlik). Prepares reports, gathers data, composes correspondence..."
1009.0,Statistician/Mathematician,        VGT,"Reno, NV",,The Statistician/Mathematician designs and develops pay tables and new games. This position works independently but with oversight and support from a project
1010.0,Research Scientist - JUL16-02,        Human Resources Research Organization,"Alexandria, VA",,"Collecting and analyzing data and interpreting results; Human Resources Research Organization (HumRRO) is an industry leader in designing, developing, and..."
1011.0,"Postdoctoral Research Scientist, Lifelong Machine Learning",        Facebook,"Redmond, WA",,Analysis of computing data hierarchy from cloud to mobile device client. Formulation of new ML and data analysis approaches that harness always on device...
1012.0,Senior Data Scientist,        Walgreens,"Deerfield, IL",,Senior Data Scientist (Job Number:. Uses data mining techniques and programming skills to analyze research data and Walgreen databases to identify areas of...
1013.0,Statistician,        General Dynamics Information Technology,"Coralville, IA 52241",,"Plans data collection, and analyzes and interprets statistical data from surveys, experiments, studies, and other sources...."
1014.0,Statistician,    QuintilesIMS,"Plymouth Meeting, PA",,Experience with large data sets and basic knowledge of SAS programming languages in both PC and mainframe environments is preferred....
1015.0,"Senior Data Scientist, Risk Management",        Bill.com,"Palo Alto, CA 94303 (Duveneck-Saint Francis area)",,Experience with data visualization a plus. Minimum 5 years of industry experience in data science. Identify and evaluate new data sources to build effective...
1022.0,Data Acquisition Programmer,    Ceres Imaging,"Oakland, CA","$90,000 - $150,000 a year","Data Acquisition Programmer. Strong background programming hardware or instrumentation, preferably with an emphasis on data collection/logging...."
1023.0,Fair Lending Statistician,        Happy State Bank,"Addison, TX 75001",,Apply statistical techniques to streamline data collection from multiple datasets and data validation procedures;...
1024.0,"Analyst/Senior Analyst, Advanced Analytics",        Liberty Mutual,"Boston, MA","$73,300 - $114,900 a year","Preferred experience manipulating and analyzing data. Participate in discussions with key stakeholders, such as Underwriting, and GS Analytics modeling team..."
1025.0,BI/Visualization Analyst,"        Neustar, Inc.","McLean, VA",,Interested in growing as a data scientist or visualization expert to help organizations extract insights in an easy and rapid manner....
1026.0,Accenture Analytics-Data Science Consultant,        Accenture,"San Francisco, CA 94105 (Financial District area)",,"Accenture Analytics – Data Scientist. Manage, architect and analyze big data in order to build data driven business insights and high impact data models to..."
1027.0,Data Scientist (EPIC Social Media Analytics Company),    Thousand Hills Holdings LLC,"Frisco, TX 75033","$100,000 a year",Seeking a Data Scientist to own the scoring platform for celebrities. This Social Media Analytics company has an EPIC perm opportunity with a cutting edge start...
1028.0,Sr. Data Scientist - ID Graph,        Oracle,"Broomfield, CO",,Identifies meaningful insights from large data and metadata sources; Interacts with product and service teams to identify questions and issues for data analysis...
1029.0,Data Scientist,"    Gunther Douglas, Inc.","Washington, DC","$95,000 - $105,000 a year","Gunther Douglas’ global client is seeking a *Data Scientist*. Experience writing code and using data science tools such as SQL, Python, Tableau, ArcGIS, and/or..."
1031.0,Flame Data Scientist,        Honeywell,"Lincolnshire, IL 60069",,"We are looking for a Data Scientist that will help us discover the information hidden in vast amounts of flame sensor data, and help the products make smarter..."
1038.0,Senior Data Scientist - Streaming Experimentation and Modeling,        Netflix,"Los Gatos, CA",,"Netflix data science is a unique combination of big data, algorithms, and entertainment:. Analyze experimental data with statistical rigor...."
1039.0,Data Scientist,    Nuna,"San Francisco, CA",,"Nuna Data Science. Work with engineering, and product management to develop methods that enhance the quality and value of data in Nuna’s data platform...."
1040.0,Research Analyst,    Kansas Department of Labor,"Topeka, KS",,"One year of experience in collecting, evaluating, studying or reporting on statistical, and economic data...."
1041.0,Research Scientist - Health Care,        National Opinion Research Center (NORC),"Bethesda, MD",,"Our team includes social scientists that acquire, collect, and analyze data from health care organizations and patients;..."
1043.0,Data Scientist,        Hopper,"Cambridge, MA",,"We’re looking for a data-savvy individual to join our team as a data scientist, to create consumer-focused research content and support user-centric product..."
1044.0,Data Scientist,        Zacks Investment Management,"Chicago, IL",,Data Scientist- Stock Market Applications. Zacks Investment is expanding its Machine Learning team and is looking for a data scientist with experience in stock...
1045.0,Enterprise Data Governance Analyst,    NYU Langone Health System,"New York, NY",,Supports the data governance team in conducting moderately complex data analysis to help drive data quality improvement initiatives....
1052.0,Statistical Data Analyst,        Preferred Mutual Insurance Company,"New Berlin, NY",,"Key activities include querying and aggregatingdata, cleansing and standardizing data, transforming data, interrogating andanalyzing data, creating profiling..."
1053.0,DATA SCIENTIST-OPTIMIZATION/AI,    Kite Staffing,"San Francisco, CA",,Leading San Francisco-based FinTech company that is transforming the lending market is looking for a data scientist - Optimization/ AI to help develop the next...
1054.0,Predictive Modeling - Senior Consultant,        CVS Health,"Northbrook, IL",,"Accessing data, constructing and manipulating large datasets to support planned analyses, using SAS, SQL and similar tools;..."
1055.0,Scientist 1 - Research and Development / Mission Bay San Francisco,"        Illumina, Inc.","San Francisco, CA 94158 (South Of Market area)",,"Experimental design, execution, and data analysis. Work collaboratively with scientists and engineers based in San Francisco, San Diego, and around the world...."
1056.0,Predictive Modeling Analyst II,        Vencore,"Chantilly, VA",,"Analyses data, conducts advanced statistical analyses and applies mathematical calculations to produce coherent meaning from structured and semi-structured data..."
1058.0,Research Analyst,        Nielsen,"New York, NY 10003 (Greenwich Village area)",,"Collaborate with data extraction team for execution of reports and data extracts. Translate data into insights through client deliverables (Excel files,..."
1060.0,Business Consultant - Data Analysis,        MassMutual Financial Group,"Springfield, MA 01119 (Sixteen Acres area)",,Work with the ERM SLT and their teams to assess data needs and create a prioritized list of needs for each area within ERM Build relationships across the...
1061.0,Data Analyst,        Alere,"Scarborough, ME",,Participate in data migration and data entry activities as needed. Implement data organization systems. Check data for accuracy and communicate with data...
1067.0,Operations Research Analyst,    ESNS,"Aberdeen Proving Ground, MD",,"Define data requirements, gather and validate information and apply judgment and statistical tests. Engineering, Software and Network Services (ESNS) is an..."
1068.0,Data Engineer,        Weight Watchers International,"New York, NY",,Work closely with our data scientists to help build complex algorithms that provide unique insights into our data....
1069.0,"Expert Scientist, Microbiology/Molecular Analytics",        GlaxoSmithKline,"Rockville, MD",,"Collects, generates, and presents scientific data. 5 plus years of work experience with a PhD in a Biology-related degree OR 10 plus years of work experience..."
1071.0,Information Technology Data Analyst,        TransQuest,"McLean, VA 22102",,"Assist with data ingestion, data warehouse architecture, tuning, the development of Structured Query Language (SQL) queries, and performing data conversion in..."
1072.0,Research Analyst,    AccessLex Institute,"Washington, DC",,Produce data aggregations for internal and external consumption. Familiarity with existing data sources related to student financial aid and postsecondary...
1073.0,Data Engineer,        Dailymotion,"New York, NY",,Work closely with data scientists to construct creative solutions for their analysis tasks Qualifications....
1074.0,Research & Data Analyst,        International Rescue Committee,United States,,"Experience maintaining data quality within an organization. Undertake scheduled exception reporting of data within IRC systems, identifying poor quality, out of..."
1076.0,Research Scientist - Yahoo Publisher Products,        Yahoo! Inc.,"Sunnyvale, CA",,"Hands-on skills in cleaning, manipulating, analyzing and modeling large data sets. Perform statistical analyses on large data sets, identify problems and..."
1082.0,Consultant,        EXL,"Reston, VA",,"Our global footprint of nearly 2,000 data scientists and analysts assist client organizations with complex risk minimization methods, advanced marketing,..."
1083.0,Data Scientist,    First Soft Solutions [ Direct],"Chicago, IL",,"Previous experience in Data Warehouse and Data Analytics is mandatory. Manipulation of large data sets; Data visualization techniques and tools such as Tableau,..."
1085.0,Cyber Data Scientist,        Deloitte,"Arlington, VA 22209 (Radnor-Ft Myer Heights area)",,"Serve as a data scientist on cyber analytic execution teams. Conduct relevant research, data analysis, and create reports...."
1086.0,Modeling and Simulation Fellowships - CDER,        Oak Ridge Associated Universities,"Silver Spring, MD",,"This Division coordinates modeling, simulation, data analysis and data mining and establishes the scientific computing infrastructure for OGD...."
1087.0,Data Scientist Intern,        Pitney Bowes,"Danbury, CT 06810",,"We are a team of developers, architects, data engineers, security experts, data scientists, and business analysts who see the potential in data driven products..."
1088.0,Data Scientist III Job,        AGCO,"Duluth, GA 30096",,"Responsibilities of the Data Scientist III :. Required Qualifications of the Data Scientist III:. Additionally, the Data Scientist III will use that data to..."
1089.0,Supervisory Health Scientist,        Centers for Disease Control and Prevention,"Atlanta, GA","$125,132 - $161,900 a year","As a Supervisory Health Scientist you will:. Exercise technical and overall administrative supervision over professional and administrative personnel, including..."
1090.0,Senior Data Scientist / Analyst,    Boston Technology Corporation,"Boston, MA",,Senior Data Scientist/Analyst:. 4-6 years of experience in similar role analyzing large amounts of data and generating actionable business value....
1098.0,Senior Analyst- Advanced Analytics,        Liberty Mutual,"Boston, MA","$73,300 - $114,900 a year",You will also support these data scientists in manual scoring of data for some deployed complex models. There is also the opportunity to learn to build simple...
1099.0,Data Scientist,    WorldCover,"New York, NY","$70,000 - $110,000 a year",We are looking for a talented data scientist who is excited to tackle the challenges unique to our markets:. Optimizing customer data collection processes and...
1101.0,Senior Quantitative Analyst – Model Validation,        Capital One,"McLean, VA",,"With a network of over 200 quantitative analysts, data scientists and statisticians, we’ve created a dynamic environment with ample opportunities for learning..."
1103.0,Analytical Scientist,        Eurofins,"Spring House, PA",,"Analytical Scientist responsibilities include, but are not limited to, the following :. Eurofins Lancaster Laboratories PSS is searching for an Analytical..."
1104.0,"Data Scientist, Mid",        Booz Allen Hamilton,"Springfield, VA",,"Data Scientist, Mid. Perform as a data scientist with a focus on computer science to apply knowledge of and expertise in working with large data sets, dynamic..."
1105.0,TSA Operations Research Systems Analyst,    Eagle Network Solutions,"Chantilly, VA",$70 an hour,Creating test plans and data collection strategies. Writing reports that explain data results and their associated impacts....
1113.0,Research Analyst,"    Fort Washington Investment Advisors, Inc.","Cincinnati, OH 45202 (Mount Adams area)",,"Experience must include identifying, defining and resolving problems and collecting or intepreting data to establish facts and draw valid conclusions...."
1115.0,Software Engineer - Machine Learning,    NxT Level,"Seattle, WA","$145,000 - $197,000 a year",Practical experience in using statistics in analyzing and processing data. You’ll join a top-notch technology team that is dedicated to solving some of the...
1117.0,Machine Learning Software Engineer,        L-3 Communications,"Rockwall, TX 75032",,It will require an individual with interest in real-time and near real-time streaming data processing and machine learning applications that enable semi...
1118.0,Provider Data Analyst (R00511),        Blue Cross Blue Shield of Massachusetts,"Boston, MA",,Minimum of one years’ experience as a data analyst or data scientist. The Provider Data Analyst will:. Provide Data Mining analytics for ongoing ad-hoc requests...
1119.0,Credit Risk Transfer Research Analyst,    iiTS,"Washington, DC 20005 (Logan Circle area)","$140,000 a year","Familiarity with Fannie Mae’s historical credit performance and data. Enthusiasm to analyze large data sets and work on hard, ill-defined problems...."
1120.0,Statistician,        The Johns Hopkins Applied Physics Laboratory,"Laurel, MD",,"The statistician will program, document, and validate software code in R and/or SAS to execute data handling tasks, perform standard data analysis, and produce..."
1121.0,Senior Data Scientist,    Adadyn,"San Francisco, CA",,"Excellent understanding of Algorithms, Data Structures and Machine Learning / Data Mining. Develop Adadyn’s overall data technology platform and service..."
1128.0,Research Scientist,        Ohio State University Medical Center,Ohio,"$47,476 - $50,000 a year","Extracts, compiles, analyzes and evaluates data; Research Scientist to plan, develop and build an independent research program resulting in publishable..."
1129.0,"Analytics Director, Emerging Technologies",        Cigna,"Bloomfield, CT",,"Team leadership to data scientists to ensure they are growing their. Learning and big data analytics. Power-pivots, cubes, data warehouse, and datamarts...."
1130.0,"Operations Research Analyst, Mid-Level",        Centra Technology,"McLean, VA",,"The analyst will use sound analytic methods, incorporating effective data visualization methods. CENTRA Technology, Inc...."
1131.0,Jr. Data Scientist NO C2C (SS1000),"        Akvelon, Inc.","Redmond, WA",,"Data mining, web mining, machine learning, statistics, business intelligence/customer intelligence, user modeling, information retrieval, databases, data..."
1134.0,Research Data Analyst II,        San Antonio ISD,"San Antonio, TX 78210 (Highland Park area)","$57,040 a year",Bachelor’s Degree from an accredited four year college or university with experience in data collection and analysis....
1135.0,"Sr. Data Scientist, Analytics",        Memorial Sloan Kettering,"New York, NY",,"Using complex real-world structured, text, and image data Memorial Sloan Kettering (MSK) has collected over the past 20+ years, the Research Data Scientist will..."
1136.0,Research Analyst,        Stony Brook University,"Stony Brook, NY",$12 - $15 an hour,"Research collaboration and preparation of data reports. Collection, input and maintenance of research data, includes obtaining tissue samples from the hospital...."
1143.0,"Research Scientist, PhD University Grad (Machine Learning)",        Facebook,"Menlo Park, CA",,"As a Software Engineer or Research Scientist at Facebook, you will help build the next generation of machine learning systems behind Facebook's products, create..."
1144.0,"Data Scientist, Tech Lead - NLP",        Grubhub,"New York, NY",,"Explore diverse data (structured and unstructured) of large volumes to develop models which help drive complex, real time data driven products with real world..."
1145.0,"Consulting Manager, Data Science | 40517181",    Lenati,"Seattle, WA 98119 (Queen Anne area)",,A seasoned data scientist – at least 5 years of experience doing data science in a corporate environment. Experience leading data scientists – at least two...
1146.0,Senior Data Scientist - Machine Learning Research,        Netflix,"Los Gatos, CA",,"As a senior data scientist, you will:. Proven track record of leveraging large amounts of data to solve real-world problems...."
1147.0,Data Scientist - Staff,        Goodyear,"Akron, OH",,Global Data Science team. Data available throughout the company and elsewhere. With big data technologies will be a plus....
1148.0,Senior Data Scientist,        Honeywell,"Houston, TX",,Honeywell has an immediate opening for a Senior Data Scientist to uncover key insights across a diverse set of use cases with an abundance of data....
1149.0,Data Engineer,    kWantera,"Pittsburgh, PA 15222 (Strip District area)",,Past experience collaborating with data scientists. Experience developing software to collect data from unstructured sources using ETL data pipelines....
1150.0,Analyst,"    Metron, Inc.","Reston, VA 20190",,"Our Reston office employs mathematicians, physicists and computer scientists. The successful candidate will interact with customers, both onsite and offsite,..."
1157.0,Research Analyst,"        DuCharme, McMillen & Associates, Inc.","Phoenix, AZ 85050 (Desert View area)",,"Prospect data, and produce spreadsheets and reports that convey researched. Researches and gathers data on prospects and current clients, and...."
1158.0,Quantitative Analyst,    M-CAM International,"Charlottesville, VA","$80,000 - $90,000 a year","As scientists and researchers, our quantitative analysts use advanced data analysis techniques to glean further information from the financial markets...."
1159.0,Data Scientist (Entry),"        SRC, Inc.","Syracuse, NY 13202 (Southwest area)",,"Experience with data collection, organization and integration. Hands-on, advanced proficiency in handling and analyzing large data sets...."
1160.0,Connect - Data Analyst,        Ipsos North America,"New York, NY",,"You understand data, and how to interpret it. Your role will not be limited to data management and innovation...."
1161.0,Sr. Analyst -- Data Scientist,        Ally Financial Inc.,"Charlotte, NC 28217 (Olde Whitehall area)",,Investigate new approaches and uses of available data on Hadoop platform. Ability to analyze and synthesize complex data into clear action-oriented...
1162.0,Scientist (Data Content/Analytics) [OSDCDL2017B],    OmicSoft/QIAGEN,"Cary, NC",,"Scientist (Data Content/Analytics)*. We are seeking a talented and motivated scientist to join the Scientific Data Curation Team at Omicsoft, a Qiagen Company...."
1163.0,Machine Learning Engineer - Ads Prediction,    TellApart,"San Francisco, CA 94103 (South Of Market area)",,"Common data structures and algorithms. You’re an relevance engineer, applied data scientist or machine-learning engineer who wants to work on exciting..."
1164.0,Mid-Level Data Scientist,        Workbridge Associates,"Menlo Park, CA","$200,000 a year",ETL and Data warehousing experience. A leading provider of video advertising technology in the marketing industry is growing out a new platform in their Menlo...
1165.0,"Senior Associate, Data Scientist",        Capital One,"New York, NY",,"Senior Associate, Data Scientist. Writing software to clean and investigate large, messy data sets of numerical and textual data...."
1172.0,Scientific Data Curator III,        Vistronix,"Morrisville, NC",,"Understand data requirements and clearly communicate with study scientists, data curation and development teams to facilitate successful data curation...."
1173.0,Data Scientist,    Conversion Logic,"Los Angeles, CA",,Our Data Science team is seeking a Data Scientist to help them drive R&D in advanced attribution modeling and analytical support to client service and...
1175.0,"Data Scientist/Analyst, Sr.",    International Software systems,"Maryland City, MD",,"Proficiency at transforming data, data classification and translations, as well as resolving data quality and data cleansing*...."
1176.0,Data Scientist Intern,        ID Analytics,"San Diego, CA 92128",,"The Data Scientist Intern’s duties will include, but not be limited to:. Experience with large data sets, data mining, natural language processing, deep..."
1177.0,"Climate, Ocean & Sea-Ice Modeling (COSIM) Scientist (Scientist 2/3)",        Los Alamos National Laboratory,"Los Alamos, NM",,"Scientist 2 ($84,300 - $139,000). Scientist Level 3 ($92,600 - $154,600). In addition to the duties outlined above, the Scientist 3 will be required to:...."
1178.0,Lead Data Scientist,        Comcast,"Philadelphia, PA 19103 (Belmont area)",,"5+ years working within an enterprise data warehouse environment or Big Data architecture. Lead large scale projects that utilize online & offline data,..."
1180.0,Principal Research Scientist,        Huawei,"Santa Clara, CA",,We are looking for a few research scientists with strong background in machine learning or information retrieval or data mining or natural language processing...
1181.0,"DevOps Data Scientist, Senior",        Booz Allen Hamilton,"Alexandria, VA",,"DevOps Data Scientist, Senior. Perform as a data scientist to support the practices of continuous integration and continuous delivery and deployment through the..."
1187.0,Data Science Machine Learning Expert,        Sealed Air Corporation,"Charlotte, NC 28273 (Olde Whitehall area)",,Data science architecture and role of machine learning. Build machine learning models aimed towards unlocking value from data sources....
1188.0,Scientist - Operations Research,        United Airlines,"Chicago, IL",,Knowledge of United/Industry data sources. Mentor individuals for acquiring and/or maintaining the technical skills for which scientist can serve as the subject...
1189.0,Statistician,        Precision Castparts Corp.,Nevada,,"Experience with data visualization tools (Tableau preferred). Analyze plant data using data visualization, statistics, and machine learning in order to identify..."
1190.0,Senior Data Scientist,    AdTheorent,"New York, NY",,Data scientist building predictive models:. We are looking to hire a results-oriented data scientist with experience in data analysis and predictive modeling....
1191.0,"Instagram - Software Engineer, Machine Learning Menlo Park",        Facebook,"Menlo Park, CA",,"Develop highly scalable classifiers and tools leveraging machine learning, data regression, and rules based models...."
1192.0,Senior Data Scientist,    LeanTaaS,"Santa Clara, CA",,LeanTaaS is looking for extraordinary data scientists to synthesize and leverage massive data sets to help radically transform data into products.....
1193.0,Data Engineer,        Academy Sports + Outdoors,"Katy, TX",,"Establish data management and development standards for data warehouse, data integration and Big Data technologies...."
1194.0,Statistician,        Noblis,"Washington, DC",,"Data analysis skills and techniques. Experience with regression analysis and data analysis. Perform regression analysis, trend analysis, decision analysis, data..."
1196.0,Research Analyst I,        Vanderbilt University Medical Center,"Nashville, TN 37232",,"Assist with data preparations for study visits and conclusion of data after visits. Assist in investigating, gathering, assessing, and clarifying data;..."
1204.0,Senior Data Scientist - Traffic Scenarios and Simulation,"    Faraday Future, Inc.","San Jose, CA",,Familiarity with OpenDrive data format and and with HD maps - High-performance GPU programming - Programming experience with OpenGL - Prior work on high...
1206.0,Sr. Data Scientist,        Raytheon,"Tewksbury, MA 01876",,"Partnering across the enterprise, the incumbent will interpret data, analyze results using statistical techniques, data reporting and visualization toolsets,..."
1207.0,"CS Data Scientist, Senior",        Booz Allen Hamilton,"Alexandria, VA",,"CS Data Scientist, Senior. Perform as a data scientist with a focus on computer science (CS) to apply knowledge of and expertise in distributed scalable Big..."
1208.0,"Data Scientist, Population and Survey Sciences",        Facebook,"Menlo Park, CA",,"We’re looking for data scientists to work on our internal survey, user feedback, and sentiment measurement systems that empower our users to have a voice in..."
1209.0,Scientist - Virologist,        EMD,"Rockville, MD",,Performs analysis and interpretation of data. The Scientist will perform/ oversee a wide variety of safety testing required to manufacture clinical and...
